id,created_at,text,estimated_time,wait_time_min,wait_time_max,,
905299669076631552,2017-09-06 5:20:35,b'Gate road is officially closed. All traffic entering and exiting the city must go through Point 1/12 Mile road. See you in the dust in 2018!',,,,,
905280450301710339,2017-09-06 4:04:13,b'Gate Road to CR 34 has a 0 wait time. Drive times to Wadsworth are 1 hour 27 minutes. Please drive carefully - rough conditions.',0,0,,,
905265518747291652,2017-09-06 3:04:53,b'Drive times to Wadsworth are 1 hour 27 min.  Gate Road has a 0 wait time. Drive carefully - rough conditions.',0,0,,,
905251501915983872,2017-09-06 2:09:11,b'CR 34 south has cleared - drive times to Wadsworth are 1 hour 27 min.  Gate Road has a 0 wait time. Maintain speed limit - rough conditions.',0,0,,,
905232213918318596,2017-09-06 0:52:32,"b'That stranded vehicle at the exit from the playa has been a challenge. Gate road is still closed. Gate time to exit, once clear, 2 hours.'",,closed,,,
905224519404707840,2017-09-06 0:21:58,"b'Good drive times to Wadsworth, normal speeds: 1 hr 27 min. Gate was temporarily closed to move stranded vehicle, 90 min exit time.'",,,,,
905203017565306880,2017-09-05 22:56:31,"b'Driving times from CR 34 to Wadsworth are great, about 1 hour 27 min. The now-released closure of CR 34 has not cleared Gate Rd: 90 min wait'",90,90,,,
905189923933782016,2017-09-05 22:04:30,"b""Driving reminder: There are pot holes remaining, so be alert. Passing is something we strongly recommend against. Don't speed. Get home safe""",,,,,
905189151548604416,2017-09-05 22:01:25,"b'Traffic is moving on CR 34 after road repairs. Wait time on Gate Road is about 90 min, driving time from CR 34 to Wadsworth 1 hour 27 min'",90,90,,,
905164155937853442,2017-09-05 20:22:06,b'Traffic stopped on CR 34.',,,,,
905160588359282689,2017-09-05 20:07:55,b'CR 34 currently blocked in both directions by law enforcement. Will update as situation changes.',,,,,
905159777382260737,2017-09-05 20:04:42,"b""All roads open, normal driving times in both directions. No wait at Gate. Still some potholes, so be cautions. And as ever, don't pass.""",0,0,,,
905150020785197056,2017-09-05 19:25:56,"b'Expect normal times from CR 34 to Wadsworth, about 1 hour 27 minutes. No wait at the Gate. Be cautious on CR 34 for potholes. No Passing!'",0,0,,,
905145139227701248,2017-09-05 19:06:32,b'Travel from CR 34 to Wadsworth is two hours and 08 minutes.',,,,,
905134471258759169,2017-09-05 18:24:09,"b'Please, please please do not pass on Gate road, CR 34 or 447. This is tremendously dangerous.'",,,,,
905134240739856384,2017-09-05 18:23:14,b'Potholes on County Road 34 are filled and both lanes are open!',,,,,
905127084368023552,2017-09-05 17:54:48,b'Gate road is badly rutted. Travel slowly and cautiously.',,,,,
905126409672253441,2017-09-05 17:52:07,b'Traffic on County Road 34 slowed while road crews repair a large pot hole.',,,,,
905120434651361280,2017-09-05 17:28:22,b'Traffic stopped on CR 34 leading into Gerlach. No report of cause.',,,,,
905099511428722688,2017-09-05 16:05:14,"b'No stops on Gate Road to leave Black Rock City. \nOnce your vehicle is on the pavement, travel time to Wadsworth is 1 hour and 25 minutes .'",0,0,,,
905095451606704128,2017-09-05 15:49:06,"b'Please do not pass on Gate road, CR 34 or 447. This is tremendously dangerous.'",,,,,
905084334599798784,2017-09-05 15:04:55,"b'No stops on Gate Road to leave Black Rock City. \nOnce your vehicle is on the pavement, travel time to Wadsworth is 1 hour and 43 minutes .'",0,0,,,
905069101869125632,2017-09-05 14:04:23,"b'No stops on Gate Road to leave Black Rock City. \nOnce your vehicle is on the pavement, travel time to Wadsworth is 1 hour and 34 minutes .'",0,0,,,
905054025476956161,2017-09-05 13:04:29,"b'Exiting traffic slowly increasing; still no stops on Gate Rd. \nTravel time to Wadsworth is 1 hour and 42 minutes once on the pavement,'",0,0,,,
905039574606516224,2017-09-05 12:07:04,"b'No stops on Gate Road to leave Black Rock City. \nOnce your vehicle is on the pavement, travel time to Wadsworth is 1 hour and 40 minutes .'",0,0,,,
905023743302520832,2017-09-05 11:04:09,b'No wait to leave Black Rock City. \nProceed with caution along Gate Rd. to CR 34.\nTravel from CR 34 to Wadsworth is 1 hour and 35 minutes.',0,0,,,
905008644630175744,2017-09-05 10:04:09,b'No wait to leave Black Rock City. \nProceed with caution along Gate Rd. to CR 34.\nTravel from CR 34 to Wadsworth is 1 hour and 41 minutes.',0,0,,,
905000544430952448,2017-09-05 9:31:58,b'Currently no wait to leave Black Rock City. \nProceed with caution along Gate Rd.\nTravel from CR 34 to Wadsworth is 1 hour and 38 minutes.',0,0,,,
904960608721928192,2017-09-05 6:53:17,b'Currently no wait to leave Black Rock City. Travel from CR 34 to Wadsworth is two hours and 22 minutes.',0,0,,,
904948823755296768,2017-09-05 6:06:27,b'Currently no wait to leave Black Rock City. Travel from CR 34 to Wadsworth is one hour 57 minutes.',0,0,,,
904932997404688384,2017-09-05 5:03:34,b'Gate Road traffic remains no wait. Travel from CR 34 to Wadsworth is 3 hours 30 minutes.',0,0,,,
904917685477265408,2017-09-05 4:02:43,"b'Please avoid the intersection of 5:30 and K until 3 a.m., due to an accident investigation'",,,,,
904917447349821440,2017-09-05 4:01:46,b'Gate Road is currently no wait. Travel from CR 34 to Wadsworth is 3 hours 24 minutes.',0,0,,,
904908771184582656,2017-09-05 3:27:18,"b'Please avoid the intersection of 5:30 and K, due to an accident investigation'",,,,,
904902577694937088,2017-09-05 3:02:41,b'Gate Road wait time is about 1 hour to an hour.  Travel from CR 34 to Wadsworth is 3 hours 43 minutes.',,60,,,
904901389167595520,2017-09-05 2:57:58,b'1 - Gate Road wait time is based on travel time from Gate to County Road 34. It does not include travel time from your camp to Gate.',,,,,
904901140378202112,2017-09-05 2:56:58,b'2- Travel time from your camp to Gate will vary on the time of day and which side of the city you are departing from.',,,,,
904900852082716672,2017-09-05 2:55:50,"b'Please do not pass vehicles on Gate road, CR 34 or 447. This is tremendously dangerous.'",,,,,
904887256514797568,2017-09-05 2:01:48,b'Gate Road wait time is about 1 hour to an hour and a half.  Travel from CR 34 to Wadsworth is 3 hours 38 minutes.',75,75,,,
